Source:,/Users/brandonlantau/Documents/KiCad/7.0/projects/Espresso_Rev4.1/Espresso_Rev4.kicad_sch,,,,,,,,
Date:,"Tuesday, August 20, 2024 at 01:13:08 PM",,,,,,,,
Tool:,Eeschema (7.0.0-0),,,,,,,,
Generator:,/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py,,,,,,,,
Component Count:,152,,,,,,,,
,,,,,,,,,
Collated Components:,,,,,,,,,
,,,,,,,,,
Item,Qty,Reference(s),Value,Manufacturer,LibPart,Footprint,Datasheet,DNP,Part Number
1,6,"C1, C4, C15, C18, C21, C24",1uF,Samsung,Custom_Microcontroller:C_0603_1uF,Custom_Microcontroller:C_0603,,,CL10A105KB8NNNC
2,23,"C2, C3, C5, C6, C10, C11, C12, C13, C14, C16, C17, C19, C20, C38, C43, C46, C47, C48, C49, C50, C59, C60, C63",100nF,Samsung,Custom_Microcontroller:C_0603_100nF,Custom_Microcontroller:C_0603,,,CL10B104KB8NNNC
3,2,"C7, C9",6.3pF,Samsung,Custom_Microcontroller:C_0603_6.3pF,Custom_Microcontroller:C_0603,,,CL10C6R2DB8NNNC
4,4,"C8, C33, C55, C56",4.7uF,Samsung,Custom_Microcontroller:C_0603_4.7uF,Custom_Microcontroller:C_0603,,,CL10A475MA8NQNC
5,2,"C22, C27",5.6pF,Samsung,Custom_Microcontroller:C_0603_5.6pF,Custom_Microcontroller:C_0603,,,CL10C5R6DB81PNC
6,10,"C23, C25, C26, C30, C32, C34, C51, C52, C53, C54",2.2uF,Samsung,Custom_Microcontroller:C_0603_2.2uF,Custom_Microcontroller:C_0603,,,CL10A225KB8NNNC
7,4,"C28, C35, C36, C37",220pF,Samsung,Custom_Microcontroller:C_0603_220pF,Custom_Microcontroller:C_0603,,,CL10B221KB8NFNC
8,3,"C29, C31, C39",10uF,Samsung,Custom_Microcontroller:C_0603_10uF,Custom_Microcontroller:C_0603,,,CL10A106MA8NRNC
9,2,"C40, C41",47uF,Kyocera AVX,Custom_Microcontroller:C_1206_47uF_Polarized,Custom_Microcontroller:C_1206,,,TLJA476M010R0600
10,6,"C42, C57, C58, C66, C67, C68",15pF,Samsung,Custom_Microcontroller:C_0603_15pF,Custom_Microcontroller:C_0603,,,CL10C150JB81PNC
