#,Reference,Qty,Value,Footprint,Manufacturer,Part Number,Alt Part Number,Rating,Color,DNP,Voltage Rating
1,C14,1,4.7uF,Custom_Microcontroller:C_0603,Samsung,CL10A475MA8NQNC,,25V,,,
2,C40,1,4.7nF,Custom_Microcontroller:C_1206,KEMET,C1206C472KDRACAUTO,,1kV,,DNP,
3,"C1,C4",2,1uF,Custom_Microcontroller:C_0603,Samsung,CL10A105KB8NNNC,,50V,,,
4,"C15,C16",2,20pF,Custom_Microcontroller:C_0603,Samsung,CL10C200JB8NNNC,,50V,,,
5,"C2,C3,C5,C6,C8,C10,C11,C12,C13,C17,C38,C44",12,100nF,Custom_Microcontroller:C_0603,Samsung,CL10B104KB8NNNC,,50V,,,
6,"C35,C36,C37",3,220pF,Custom_Microcontroller:C_0603,Samsung,CL10B221KB8NFNC,C0603C221J5HACAUTO,50V,,,
7,"C39,C42",2,10uF,Custom_Microcontroller:C_0603,Samsung,CL10A106MA8NRNC,,25V,,,
8,"C7,C9",2,8pF,Custom_Microcontroller:C_0603,Samsung,CL10C080DB81PNC,,50V,,DNP,
9,"CR1,CR2",2,USBLC6-2SC6,Custom_Microcontroller:USBLC6-2SC6,STMicroelectronics,USBLC6-2SC6,,,,,
10,D6,1,~,Custom_Microcontroller:SK54AHE3-LTP,MCC,SK54AHE3-LTP,,,,,
11,"D1,D4,D5",3,~,Custom_Microcontroller:LED_0603,Lite-On Inc.,LTST-C191KGKT,,,Green,,
12,"D2,D3,D7,D8",4,~,Custom_Microcontroller:LED_0603,Lite-On Inc.,LTST-C191KFKT,,,Orange,,
13,F1,1,1A,Custom_Microcontroller:MF-FSMF050X-2,Bourns,MF-FSMF050X-2 ,,,,,
14,FB1,1,120R,Custom_Microcontroller:FB_0603,Murata,BLM18KG121TN1D,,,,,
15,J1,1,~,Custom_Microcontroller:2X8,Sullins,PPTC082LJBN-RC,,,,,
16,J5,1,Conn_01x05,Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical,,,,,,,
17,J6,1,20021321-00030T4LF,Custom_Microcontroller:20021321-00030T4LF,Amphenol,20021321-00030T4LF,,,,,
18,J7,1,OSTTE020104,Custom_Microcontroller:OSTTE020104,On Shore Technology,OSTTE020104,,10A,,,
19,J8,1,S2B-PH-K-S,Custom_Microcontroller:S2B-PH-K-S,JST,S2B-PH-K-S,,,,,
20,"J2,J3,J4",3,~,Custom_Microcontroller:1X3,,,,,,,
21,Q1,1,~,Custom_Microcontroller:DMP3099L-7,Diodes,DMP3099L-7,,,,,
22,R2,1,100K,Custom_Microcontroller:R_0603,Stackpole,RMCF0603FT100K,,1/10W,,,
23,R3,1,1M00,Custom_Microcontroller:R_1206,Stackpole,RMCF1206FG1M00,,1/4W,,DNP,
24,R8,1,1M00,Custom_Microcontroller:R_0603,Stackpole,RMCF0603FT1M00,,1/10W,,,
25,R31,1,3mOhm,Custom_Microcontroller:R_1206,Rohm Semiconductor,PMR18EZPFV3L00,,1W,,,
26,"R1,R26,R27",3,10K,Custom_Microcontroller:R_0603,Stackpole,RMCF0603FT10K0,,1/10W,,,
27,"R29,R30",2,97R6,Custom_Microcontroller:R_1206,KOA Speer,RK73H2BTTD97R6F,,1/4W,,,
28,"R4,R22,R23,R28",4,4K7,Custom_Microcontroller:R_1206,Stackpole,RMCF1206FT4K70,,1/4W,,,
29,"R5,R6,R17,R18,R21,R24,R25",7,1K,Custom_Microcontroller:R_0603,Stackpole,RMCF0603FT1K00,,1/10W,,,
30,"R7,R9",2,73K2,Custom_Microcontroller:R_0603,Stackpole,RMCF0603FT73K2,,1/10W,,,
31,"SW1,SW2,SW3,SW4,SW5",5,~,Custom_Microcontroller:PTS636 SK25J SMTR LFS,C&K,PTS636SK25JSMTR LFS,,,,,
32,U5,1,STM32F107RCT6TR,Custom_Microcontroller:STM32F107RCT6TR,STMicroelectronics,STM32F107RCT6TR,,,,,
33,U6,1,ATTINY85-20PU,Custom_Microcontroller:ATTINY85-20PU,Microchip,ATTINY85-20PU,,,,,
34,U7,1,INA180A2QDBVRQ1,Custom_Microcontroller:INA180A2QDBVRQ1,Texas Instruments,INA180A2QDBVRQ1,,,,,
35,U8,1,TPS7A4533DCQR,Custom_Microcontroller:TPS7A4533DCQR,Texas Instruments,TPS7A4533DCQR,,,,,
36,"U1,U3",2,ESP32-S3-WROOM-1U-N8R2,Custom_Microcontroller:ESP32-S3-WROOM-1U-N8R2,Espressiff,ESP32-S3-WROOM-1U-N8R2,,,,,
37,"U2,U4",2,~,Custom_Microcontroller:W25Q128JVSIQ,Winbond,W25Q128JVSIQ,,,,,
38,Y1,1,32.768 kHz,Custom_Microcontroller:ECS-.327-9-34B-TR,ECS,ECS-.327-9-34B-TR,,,,DNP,
39,Y2,1,25MHz,Custom_Microcontroller:ECS-2333-250-BN-TR,ECS,ECS-250-20-33-CKM-TR3,,,,,
